crm_account_id,name,status,address,city,zip
959243,ALPHAGRAPHICS 589,Inactive,550 CHAUVET DR,PITTSBURGH,15275-1050
5163573,AMASTI,Inactive,2346 MARKET ST,WHEELING,26003-3954
995462,BLANC PRINTING,Inactive,630 BALDWIN ST,BRIDGEVILLE,15017-2525
4890346,"BROUDY PRINTING, INC.",Inactive,221 AUBURN ST,PITTSBURGH,15206
4583500,BUTLER COLOR PRESS,Inactive,119 BONNIE DR,BUTLER,16002
761613,CHAMP PRINTING COMPANY INC,Inactive,730 4TH AVE,CORAOPOLIS,15108-3920
4591936,DATATEL RESOURCES CORP.,Inactive,1729 PENN AVE STE 4,MONACA,15061
1743074,DITTO,Active,1020 RIDGE AVE,PITTSBURGH,15233-2112
4258220,FOTORECORD PRINT CENTER INC.,Inactive,45 E. PITTSBURGH STREET,GREENSBURG,15601
4153497,FRANKLIN PRESS,Inactive,1246 LIBERTY ST,FRANKLIN,16323
1486445,HEETER PRINTING CO,Inactive,701 TECHNOLOGY DR,CANNONSBURG,15317-9529
858162,HERRMANN PRINTING & LITHO INC,Active,1709 DOUGLAS DR,PITTSBURGH,15221-1109
1149194,HI TECH COLOR INC,Inactive,25 CHRISTY PARK DR,INDIANA,15701-1585
4583496,INDIANA PRINTING AND PUBLISHING,Inactive,899 WATER ST.,INDIANA,15701
4324674,KREIDER PRINTING,Inactive,1800 COLUMBUS AVE.,PITTSBURGH,15233
4154198,MAIL AMERICA,Active,604 NATIONAL RD,WHEELING,26003-4961
5172754,MAILING SERVICES OF PITTSBURGH INC.,Inactive,155 COMMERCE DR,FREEDOM,15042
5155826,PITTSBURGH BINDING & PRINTING,Inactive,2538 MISSION ST,PITTSBURGH,15203-2444
30028983,PRESS BOX PRINTING,Inactive,2109 9TH AVE,ALTOONA,16602
1306077,PRINT KING INC,Inactive,1688 EVANS CITY RD,EVANS CITY,16033-8756
4584166,PRINT TECH,Inactive,250 ALPHA DR,PITTSBURGH,15238
30047830,PRINTSCAPE INC,Inactive,501 CORPORATE DR,CANONSBURG,15317
4589789,RAFF PRINTING,Active,2201 MARY ST,PITTSBURGH,15203-2222
1040327,REED & WITTING CO,Inactive,2900 SASSAFRAS WAY,PITTSBURGH,15201-1547
916685,SOUTHERN CHURCH ENVELOPE,Inactive,PO BOX 269,CHESTER,26034-0269
4586307,TRI-AD LITHO,Inactive,1385 FREY RD,PITTSBURGH,15235
4218658,TRIB TOTAL MEDIA,Inactive,202 FALCON LANE,TARENTUM,15084
4109593,TRUST FRANKLIN PRESS,Inactive,41 TERMINAL WAY,PITTSBURGH,15219
4138858,UNITY PRINTING CO. INC.,Inactive,5848 STATE ROUTE 981,LATROBE,15650
